admin_pk,schedule_id,integration,customer_id,customer_name,admin_schedule_status,admin_disabled_by,admin_disabled_at,admin_reenabled_by,admin_reenabled_at,admin_created_date,admin_updated_date,s3_tenant_id,s3_settings_found,ddb_last_patrol_ts,ddb_last_patrol_days_ago,ddb_patrol_count_30d,ddb_patrol_count_7d,ddb_patrol_count_total,immix_code,immix_schedule_status,verdict,notes
97,b964289e-f37a-4f79-7855-08ddcb586af6,vch,36205,"1146 - NM01206E Montgomery, T-Mobile (TIER 2)",Active,,,,,2025-07-28T15:10:17.989627Z,2025-12-04T20:27:00.380494Z,0ee7cb3f-4a3a-49b0-bcb5-73fce964b427,yes,,,0,0,0,401,(err),auth_fail,
96,259edbd3-07a8-4816-7856-08ddcb586af6,vch,36204,"1147 - NM01121D Sunset, T-Mobile (TIER 2)",Active,,,,,2025-07-28T15:10:16.901832Z,2025-12-04T20:26:59.492082Z,0ee7cb3f-4a3a-49b0-bcb5-73fce964b427,yes,,,0,0,0,401,(err),auth_fail,
95,6ab5af95-be72-48af-7857-08ddcb586af6,vch,36203,"1148 - NM01096F Volcano, T-Mobile (TIER 2)",Active,,,,,2025-07-28T15:10:15.720388Z,2026-01-07T17:43:02.582736Z,0ee7cb3f-4a3a-49b0-bcb5-73fce964b427,yes,,,0,0,0,401,(err),auth_fail,
94,4502002a-889e-40bf-7858-08ddcb586af6,vch,36202,"1149 - NM01061P 2nd Street, T-Mobile (TIER 2)",Active,,,,,2025-07-28T15:10:14.590551Z,2026-01-07T17:43:01.874884Z,0ee7cb3f-4a3a-49b0-bcb5-73fce964b427,yes,,,0,0,0,401,(err),auth_fail,
93,5bc0fbf7-fd20-4262-7859-08ddcb586af6,vch,36201,"1150 - NM01195D San Mateo, T-Mobile (TIER 2)",Active,,,,,2025-07-28T15:10:13.422093Z,2026-01-07T17:43:01.275709Z,0ee7cb3f-4a3a-49b0-bcb5-73fce964b427,yes,,,0,0,0,401,(err),auth_fail,
92,b7e69b1e-6769-4140-785a-08ddcb586af6,vch,36200,"1151 - NM01159A Todos Santos, T-Mobile (TIER 2)",Active,,,,,2025-07-28T15:10:11.980422Z,2026-01-07T17:43:00.264819Z,0ee7cb3f-4a3a-49b0-bcb5-73fce964b427,yes,,,0,0,0,401,(err),auth_fail,
91,57681aca-6fd9-4b28-785b-08ddcb586af6,vch,36199,"1152 - NM01002C Stanford, T-Mobile (TIER 2)",Active,,,,,2025-07-28T15:10:10.699934Z,2026-01-07T17:42:59.711604Z,0ee7cb3f-4a3a-49b0-bcb5-73fce964b427,yes,,,0,0,0,401,(err),auth_fail,
90,46fc39e3-88a8-410d-785c-08ddcb586af6,vch,36198,"1153 - NM01027C Highway 66, T-Mobile (TIER 2)",Active,,,,,2025-07-28T15:10:09.457463Z,2026-01-07T17:42:58.601556Z,0ee7cb3f-4a3a-49b0-bcb5-73fce964b427,yes,,,0,0,0,401,(err),auth_fail,
202,4d0574eb-28a9-40f1-e285-08de0670527f,vch,38576,15 Acorn Ave,Active,,,cleanup_lambda:rollback-2026-04-24,2026-04-24T18:06:31.650068Z,2025-10-08T14:35:17.195466Z,2026-04-24T18:06:32.012397Z,74cf336c-f671-45ad-ba7b-193d4f2540f1,yes,,,0,0,0,200,Active,active,
99,63d2dd29-c475-406e-785d-08ddcb586af6,vch,36207,"200 - Cobb Parkway, AT&T",Active,,,,,2025-07-28T15:25:13.722304Z,2026-01-07T17:43:06.453921Z,0ee7cb3f-4a3a-49b0-bcb5-73fce964b427,yes,,,0,0,0,401,(err),auth_fail,
