customer_id,customer_name,cohort,site_camera_count,schedule_camera_count_max,orphan_cams_minimum,active_schedules_count,deleted_schedules_count,schedule_titles
35829,Site 1,B,100,0,100,0,3,160|50 test|VisualCameraHealth|Deleted|cams=50/100; 340|Open and close|AutoPatrol|Paused|cams=100/100; 192|Raise|VisualCameraHealth|Deleted|cams=100/100; 341|test|AutoPatrol|Deleted|cams=100/100; 339|VCH Demo|VisualCameraHealth|Paused|cams=100/100
36799,Site A,B,42,0,42,0,3,320|50 Camera Test - 2|AutoPatrol|Paused|cams=41/42; 256|asdf|AutoPatrol|Deleted|cams=41/42; 193|Raise|VisualCameraHealth|Deleted|cams=3/42; 344|test|AutoPatrol|Deleted|cams=41/42
39346,(RVM2730) PTI Monitoring - 420 William St Victoria,B,28,0,28,0,0,221|Test VCH Victoria|VisualCameraHealth|Paused|cams=1/28
38711,CORPORATE SERVICES (5600055),F,29,9,20,1,1,210|Visual Camera Health|VisualCameraHealth|Active|cams=9/29; 1048|Visual Camera Health|VisualCameraHealth|Deleted|cams=29/29
35878,400 North Ashley,B,18,0,18,0,3,153|400NA AP Actuate Daily 11:00|AutoPatrol|Deleted|cams=18/18; 152|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Deleted|cams=18/18; 147|400NA VCH Actuate Test 1|VisualCameraHealth|Deleted|cams=16/18
40672,AutoPatrol-Live,F,45,28,17,1,0,1027|test1|AutoPatrol|Active|cams=28/45
38314,Lab Hik,B,16,0,16,0,2,185|Raise|VisualCameraHealth|Deleted|cams=16/16; 172|VCH 2|VisualCameraHealth|Deleted|cams=16/16
40508,ABC Liquor Store 13,F,33,17,16,1,0,1088|Visual Camera Health|VisualCameraHealth|Active|cams=17/33
40510,ABC Liquor Store 11,F,32,17,15,1,0,1090|Visual Camera Health|VisualCameraHealth|Active|cams=17/32
41265,Ace Hardware - Harris St.,C,15,0,15,1,0,336|VCH Check|VisualCameraHealth|Active|cams=0/15
40178,hanwha 3,B,14,0,14,0,0,252|Actuate AP Live Site 1|AutoPatrol|Paused|cams=14/14
40499,ABC Liquor Store 8,F,40,26,14,1,0,1079|Visual Camera Health|VisualCameraHealth|Active|cams=26/40
40500,ABC Liquor Store 7,F,31,17,14,1,0,1080|Visual Camera Health|VisualCameraHealth|Active|cams=17/31
40501,ABC Liquor Store 6,F,39,25,14,1,0,1081|Visual Camera Health|VisualCameraHealth|Active|cams=25/39
40502,ABC Liquor Store 4,F,15,1,14,1,0,1082|Visual Camera Health|VisualCameraHealth|Active|cams=1/15
40503,ABC Liquor Store 3,F,28,14,14,1,0,1083|Visual Camera Health|VisualCameraHealth|Active|cams=14/28
40504,ABC Liquor Store 2,F,29,15,14,1,0,1084|Visual Camera Health|VisualCameraHealth|Active|cams=15/29
40505,ABC Liquor Store 17,F,30,16,14,1,0,1085|Visual Camera Health|VisualCameraHealth|Active|cams=16/30
40506,ABC Liquor Store 15,F,30,16,14,1,0,1086|Visual Camera Health|VisualCameraHealth|Active|cams=16/30
40507,ABC Liquor Store 14,F,39,25,14,1,0,1087|Visual Camera Health|VisualCameraHealth|Active|cams=25/39
40509,ABC Liquor Store 12,F,29,15,14,1,0,1089|Visual Camera Health|VisualCameraHealth|Active|cams=15/29
40511,ABC Liquor Store 10,F,30,16,14,1,0,1091|Visual Camera Health|VisualCameraHealth|Active|cams=16/30
40512,ABC Liquor Store 9,F,22,8,14,1,0,1092|Visual Camera Health|VisualCameraHealth|Active|cams=8/22
40513,ABC Liquor Store 1,F,37,23,14,1,0,1093|Visual Camera Health|VisualCameraHealth|Active|cams=23/37
37980,hanwha,B,13,0,13,0,1,157|Test Device Workers 1|VisualCameraHealth|Deleted|cams=13/13
43928,hanwha (Health Check),B,13,0,13,0,1,663|Visual Camera Health|VisualCameraHealth|Deleted|cams=13/13
35870,500 North Ashley,B,12,0,12,0,1,146|500NA VCH Actuate Test 1|VisualCameraHealth|Deleted|cams=12/12
37458,400 North Ashley GF 1 (1),B,12,0,12,0,1,136|asdfasdf|VisualCameraHealth|Deleted|cams=12/12
38580,St. Clair and Caledonia,C,12,0,12,1,0,206|VCH Check|VisualCameraHealth|Active|cams=0/12
37460,Tampa Office CS,F,14,4,10,1,0,137|VCH trial test|VisualCameraHealth|Active|cams=4/14
46292,Victoria - Demo,B,9,0,9,0,1,1057|Visual Camera Health|VisualCameraHealth|Deleted|cams=9/9
